0,1,2,3,4,5,6,7,8,9,10,11,12
Texas,Atascosa County,48013,44911,,,,,,,,,
Texas,Bell County,48027,310235,,,3,23,0.064,,7.8,21,
Texas,Bexar County,48029,1714773,1,,8,34,0.074,80,8.6,23,6
Texas,Bowie County,48037,92565,,,,,,,9.4,21,
Texas,Brazoria County,48039,313166,,,5,35,0.07,,,,
Texas,Brazos County,48041,194851,,,,,,,8.1,21,
Texas,Brewster County,48043,9232,,,,,0.06,,,,
Texas,Caldwell County,48055,38066,,,,,,,,,
Texas,Cameron County,48061,406220,,,,,0.053,,12.1,36,
Texas,CollNULL County,48085,782341,,0.01,,,0.07,,,,
Texas,Culberson County,48109,2398,,,,,0.072,,,,
Texas,Dallas County,48113,2368139,1,,11,44,0.069,73,8.2,21,
Texas,Denton County,48121,662614,,,5,35,0.071,,7.4,20,
Texas,Ector County,48135,137130,,,,,,,7.2,20,
Texas,Ellis County,48139,149610,,,3,23,0.061,,8.2,19,6
Texas,El Paso County,48141,800647,2,0.01,13,59,0.079,99,9.1,24,7
Texas,Freestone County,48161,19816,,,,,,,,,5
Texas,Galveston County,48167,291309,,,3,22,0.068,87,8.3,28,
Texas,Gregg County,48183,121730,,,3,16,0.055,,,,50
Texas,Harris County,48201,4092459,2,,16,55,0.073,101,11.6,34,14
Texas,Harrison County,48203,65631,,,2,14,0.055,,8.3,23,33
Texas,Hidalgo County,48215,774769,,,,,0.055,82,10.8,33,
Texas,Hood County,48221,51182,,,,,0.062,,,,
Texas,Howard County,48227,35012,,,,,,,,,101
Texas,Hunt County,48231,86129,,,3,23,0.061,,,,
Texas,HutchNULLson County,48233,22150,,,,,,,,,173
Texas,Jeff Davis County,48243,2342,,,,,,,,,
Texas,Jefferson County,48245,252273,,,5,29,0.065,,8.5,24,47
Texas,Johnson County,48251,150934,,,,,0.067,,,,
Texas,Karnes County,48255,14824,,,3,25,,,,,
Texas,Kaufman County,48257,103350,,0.04,3,23,0.066,,,,8
Texas,Kleberg County,48273,32061,,,,,,,10.6,33,
Texas,Lubbock County,48303,278831,,,,,,,5.4,15,
Texas,McLennan County,48309,234906,0,,,,0.063,,,,6
Texas,Marion County,48315,10546,,,,,,,,,
Texas,Maverick County,48323,54258,,,,,,,7.9,24,
Texas,Milam County,48331,24757,,,,,,,,,
Texas,Montgomery County,48339,455746,,,2,20,0.075,,,,
Texas,Navarro County,48349,47735,,,2,,0.062,,,,123
Texas,Nueces County,48355,340223,,,,,0.064,84,8,27,3
Texas,Orange County,48361,81837,,,4,26,0.062,,8.7,22,
Texas,Parker County,48367,116927,,,,,0.068,,,,
Texas,Polk County,48373,45413,,,,,0.057,,,,
Texas,Potter County,48375,121073,,,,,,,5.5,15,94
Texas,RaNULLall County,48381,120725,,,,,0.064,,,,
Texas,Robertson County,48395,16622,,,,,,,,,
Texas,Rockwall County,48397,78337,,,,,0.064,,,,
Texas,Rusk County,48401,53330,,,,,,,,,84
Texas,Smith County,48423,209714,,,2,12,0.06,,,,
Texas,Tarrant County,48439,1809034,1,,12,45,0.077,,9.8,23,
Texas,Titus County,48449,32334,,,,,,,,,13
Texas,Travis County,48453,1024266,2,,12,43,0.063,91,9.5,23,
Texas,Victoria County,48469,86793,,,,,0.06,,,,
Texas,Webb County,48479,250304,2,,,,0.06,72,10.3,28,
Texas,Wilson County,48493,42918,,,4,31,,,,,
